x,y,z
918,-930,2215827865120445285436604169234485268788427414982608644747394113713414456189281304992986194038624093815384393617798347846350945898212351959632084639523021319185153902243763020549247279516306127414463752183841820368271691660401046407456843466086176161485977628013706077372678144
-478,65,0
-104,-62,0
785,-960,203491651394038521547847039511757134922630564035519658215217828728150550470508791245160894801988351157926327837934364027279321339542216951915385621714197694277806322617004838820284371518304871360136871830318804992117027222823378335301632
502,759,13093562431584567480052758787310396608866568184172259157933165472384535185618698219533080369303616628603546736510240284036869026183541572213314110357478
471,-743,6097165137335922326917182089439777940915230747392521779021790936768304177382354726797472857545882756171536974846497310342671827498609932238848
-500,819,-80
628,705,1113877103911668754551067286547922686741510866027480451801560673315252726369306002564920119950530126899082595110740822097336109551117050292542153642510306198303709637294986560078826707091430
295,-104,63657374260452690195888927762793067532858387302060507832379389042324415617604272068231168
727,-479,706003489677054374237277210551156965837838477962894381170850482715673457590299624976468480248807499242724466374570999144530824216469597736906638272121736526607699022870679030143158018123175881930939339869708632591433728
488,-344,799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056
-36,142,0
-281,-876,0
-294,-49,0
395,-197,80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168
-854,-76,0
189,514,784637716923335095479473677900958302012794430558004314104
268,-134,474284397516047136454946754595585670566993857190463750305618264096412179005177856
443,-939,22713710134237715329666368996500141698551292521478689383796568724394977753543685103943470334805111423773828800195818060422956300894208
-995,-402,0
791,-330,13023465689218465379062210528752456635048356098273258125773941038601635230112562639690297267327254474107284981627799297745876565730701884922584679789708652433779604647488309684498199777171511767048759797140403519495489742260696213459304448
-424,139,0
-509,-237,0
965,-554,311850048364799970571308236412006025948039259443040240859773006630814358104525635278899682108224328295209757319405077381870693435686499009490495593482004909425000886398607136955865268975681716747289586991334988123957939133612635998263883635695006899610487641699336881506618514879741251551232
184,-200,24519928653854221733733552434404946937899825954937634816
521,-444,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152
-117,608,-26
-56,55,0
-826,426,-8
819,124,3495959950985713037648777335653666807949431051290362857597833215614143555340930683513828645730545455985029236965209926766894148041634933679253543217964426223207137977048243664827490388364133151397099610379851714779776678907072458937421726941708288
-52,772,-26
-31,927,-79
289,666,994646472819573284310764496293641680200912301594695434880927953786318994025066751066086
-27,-96,0
439,730,1419606883389857208104148062281258856159455782592418086487285545274686109596480318996466895925319463985864300012238628776434768805862
-360,728,-26
822,452,27967679607885704301190218685229334463595448410322902860782665724913148442727445468110629165844363647880233895721679414135153184333079469434028345743715409785657103816385949318619923106913065211176796883038813718238213431256579671499373815533666296
-382,398,-2
26,198,67108864
749,-784,2961193260766427870080908753323559866441509279473679754522422863056280045864824078237301652581494289303756200212728639995902214134435299666298460531313288000496778442422580538845568248046109094286466596972878396512780851085312
252,294,7237005577332262213973186563042994240829374041602535252466099000494570602494
-653,129,0
680,839,5016456510113118655434598811035278955030765345404790744303017523831112055108147451509157692220295382716162651878526895249385292291816524375083746691371804094271873160484737966720260389217684476157468082096
-96,758,-26
-460,598,-8
-984,494,-8
-707,-555,0
-854,-213,0
-740,746,-26
-662,-766,0
885,-737,257956314031086546070478410603767874276780920916074961976543314954430616482775810290242800726395111276696481930301332362735521269288420672485614735577607215287298185546389201254263436365442598170421988724712494337962904439820098505292185985726092029535907510203973632
-778,-628,0
390,-264,2521728396569246669585858566409191283525103313309788586748690777871726193375821479130513040312634601011624191379636224
621,-917,8702164874309912144930213176155645990168053640839691029699692760275411924760203145038438437113516616399082774302662672635438355868101955410485575332111767174247731541367082500615833649152
-995,-549,0
-871,-444,0
-685,-998,0
-526,741,-26
67,131,147573952589676412928
-525,286,-2
-546,-634,0
-581,348,-2
-370,711,-26
866,-134,492012622892544834271389790732894657662927476722860263779722814473019822087813969212041474774160597375290836201288857198210756815506783814402799101977552824568363543598917391308333275538335033741802194070267666507650193099632451067528125735714134272643866558464
257,301,231584178474632390847141970017375815706539969331281128078915168015826259279870
788,674,1627933211152308172382776316094057079381044512284157265721742629825204403764070329961287158415906809263410622703474912218234570716337735615323084973713581554222450580936038710562274972146438970881094974642550439936936217782587026682413030
458,-300,744282853678701455922507579277316643178128753343813693728245963960974631028119473486019635930893891134220822124816566203939432067701407744
-781,789,-26
986,-287,653996952628336987883560210607911261328982429019490727199554680401825592727622145076415026132626866532955732981904996841544888480036812770751011814861973559810459458912611754481266760562888863640011851938052153014134639969934006809031100094365055109531933378765047739725368031717079125173169291264
-74,-498,0
564,963,60383398797144661635864873295812302254670739526663046854019300803929986598274381633378027602842540280663494000492221518396329354078796682120982948022923136698390325231536
215,-523,52656145834278593348959013841835216159447547700274555627155488768
850,-155,7507516828804700229971157695509256861311759593549503536677899390762631562619231707947410198580331380848554019184705462619182690666302243261761460906639905160039726922590902577336628349889145412319979767917902626154330339044684617119264613887239597666074624
-922,-791,0
614,927,67985663080546188632267290438715984298187919069060086169528849689651655662189087070612800289949348565617834174239552129964362155219546526644418557282123181048810402666930332036061200304
606,964,265568996408383549344794103276234313664796558863515961599722069100201779930426121369581251132614642834444664743123250507673289668826353619704759989383293675971915635417696609515863984
-296,844,-80
-378,205,-2
-327,-645,0
-755,331,-2
7,-900,128
-375,-178,0
-667,795,-26
508,610,837987995621412318723376562387865382967460363787024586107722590232610251879596686050117143635431464230626991136655378178359617675746660621652103062880230
-231,481,-8
470,-672,3048582568667961163458591044719888970457615373696260889510895468384152088691177363398736428772941378085768487423248655171335913749304966119424
-315,-950,0
-235,590,-8
-852,-918,0
522,370,13729595320261219429963801598162786434538870600286610818788926918371086366795312104245119281322909109954592622782961716074243975999433287625148056582230114302
966,-278,623700096729599941142616472824012051896078518886080481719546013261628716209051270557799364216448656590419514638810154763741386871372998018980991186964009818850001772797214273911730537951363433494579173982669976247915878267225271996527767271390013799220975283398673763013237029759482503102464
-779,967,-80
-188,240,-2
405,-883,82631996098781074868989413504096379978550585370535152410581099409300723904538918228148651304964410605948901503127919788032
886,-362,515912628062173092140956821207535748553561841832149923953086629908861232965551620580485601452790222553392963860602664725471042538576841344971229471155214430574596371092778402508526872730885196340843977449424988675925808879640197010584371971452184059071815020407947264
755,907,189516368689051383685178160212707831452256593886315504289435063235601922935348741007187305765215634515440396813614632959737741704603859178643101474004050432031793820315045154486116367874950982034333862206264217376817974469459888
276,-875,121416805764108066932466369176469931665150427440758720078238275608681517825325531136
42,992,4398046511024
920,972,8863311460481781141746416676937941075153709659930434578989576454853657824757125219971944776154496375261537574471193391385403783592849407838528338558092085276740615608975052082196989118065224509657855008735367281473086766641604185629827373864344704645943910512054824309490712496
859,935,3843848616348006517745232740100739512991620911897345810779084488070467360061046634469074021673129666994459657822569196861021537621146748550021867984199631441940340184366542119596353715143242451107829641173966144591017133590878523965063482310266674005030207408
-670,892,-80
53,-441,9007199254740992
815,789,218497496936607064853048583478354175496839440705647678599864575975883972208808167719614290358159090999064327310325620422930884252602183354953346451122776638950446123565515229051718149272758321962318725648740732173736042431692028683588857933856742
-961,-650,0
599,-979,2074757784440496479256203931845580575506223116121218449997828664845326405706454073199853524473551897144098943305650394591197575537705887653943437417056981843530590901700754761842688
161,871,2923003274661805836407369665432566039311865085872
969,-437,4989600773836799529140931782592096415168628151088643853756368106093029729672410164462394913731589252723356117110481238109931094970983984151847929495712078550800014182377714191293844303610907467956633391861359809983327026137802175972222138171120110393767802267189390104105896238075860024819712
312,-492,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096
418,126,676921312041214565326761275425557544784286395355423968547480366360991530225982818124993751490268451683933401113623918903558144
476,730,195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643110
160,76,1461501637330902918203684832716283019655932542976
690,-757,5136851466355833503165029182500125649951503713694505722166289944403058744430742990345377476833582471901350555523611540735370539306820120960085756611964727392534398116336371677921546638558908903585247316148224
377,84,307828173409331868845930000782371982852185463050511302093346042220669701339821957901673955116288403443801781174272
876,867,503820925841965910293903145710484129446837736164208910110436162020372297817921504473130470168740451712297816270119789770967814979078946625948466280425014092358004268645291408699733274151255074551605446727954090503833797734023629893148800753371273495187319355867056
-890,856,-80
-781,518,-8
-93,992,-80
-854,-153,0
187,-929,196159429230833773869868419475239575503198607639501078528
753,236,47379092172262845921294540053176957863064148471578876072358765808900480733837185251796826441303908628860099203403658239934435426150964794660775368501012608007948455078761288621529091968737745508583465551566054344204493617364990
-357,188,0
-555,122,0
-107,766,-26
-894,-753,0
663,932,38272525864510487788655081260950309410329935801733327822136058989190002861848048793862592256319392263154317107227530633921701753935367770195646260767912323717284188541295913442384799112073398408183728
185,-610,49039857307708443467467104868809893875799651909875269632
-953,-119,0
651,766,9343878384890255807777119448474196633381331982845050737826186276657715542443371287564109437577976626746659450006721346172290467269376897020421450382791094657540085093089822617769726345721044533222
-710,962,-80
-965,-442,0
486,-260,199791907220223502808422222706762643567910281130558153654986045416023791284464999687699590596063486154228923591770023865308670443474450259602571264
148,81,356811923176489970264571492362373784095686656
13,-149,8192
208,-415,411376139330301510538742295639337626245683966408394965837152256
-194,310,-2
907,-923,1081947199765842424529591879509026010150599323721976877318063532086628152436172512203606540057921920808293160946190599534351047801861499980289103827892100253508375928829962412377562148201321351276593628996016513851695161943555198441141036848674890703850575013678567420592128
-991,-515,0
126,-299,85070591730234615865843651857942052864
-936,519,-8
256,860,115792089237316195423570985008687907853269984665640564039457584007913129639856
-505,-627,0
792,-858,26046931378436930758124421057504913270096712196546516251547882077203270460225125279380594534654508948214569963255598595491753131461403769845169359579417304867559209294976619368996399554343023534097519594280807038990979484521392426918608896
-66,822,-80
-780,-45,0
-978,915,-80
726,-411,353001744838527187118638605275578482918919238981447190585425241357836728795149812488234240124403749621362233187285499572265412108234798868453319136060868263303849511435339515071579009061587940965469669934854316295716864
-535,746,-26
-485,-886,0
-89,754,-26
-408,-848,0
326,876,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940784
-950,597,-8
-577,-779,0
151,976,2854495385411919762116571938898990272765493168
-181,58,0
35,-412,34359738368
983,54,81749619078542123485445026325988907666122803627436340899944335050228199090952768134551878266578358316619466622738124605193111060004601596343876476857746694976307432364076469310158345070361107955001481492256519126766829996241750851128887511795631888691491672345630967465671003964634890646646161408
-391,52,0
-768,-639,0
-731,436,-8
-789,-214,0
183,-864,12259964326927110866866776217202473468949912977468817408
-514,649,-26
562,43,15095849699286165408966218323953075563667684881665761713504825200982496649568595408344506900710635070165873500123055379599082338519699170530245737005730784174597581307904
985,208,326998476314168493941780105303955630664491214509745363599777340200912796363811072538207513066313433266477866490952498420772444240018406385375505907430986779905229729456305877240633380281444431820005925969026076507067319984967003404515550047182527554765966689382523869862684015858539562586584645630
605,-774,132784498204191774672397051638117156832398279431757980799861034550100889965213060684790625566307321417222332371561625253836644834413176809852379994691646837985957817708848304757932032
615,-82,135971326161092377264534580877431968596375838138120172339057699379303311324378174141225600579898697131235668348479104259928724310439093053288837114564246362097620805333860664072122400768
-746,-884,0
-521,78,0
822,703,27967679607885704301190218685229334463595448410322902860782665724913148442727445468110629165844363647880233895721679414135153184333079469434028345743715409785657103816385949318619923106913065211176796883038813718238213431256579671499373815533666278
828,666,1789931494904685075276173995854677405670108698260665783090090606394441500334556509959080266614039273464334969326187482504649803797317086043777814127597786226282054644248700756391675078842436173515315000514484077967245659600421098975959924194154643430
355,714,73391955711682288371546268649666782105490079653384995959602842860381532034831513858240593699524021969747942
690,-24,5136851466355833503165029182500125649951503713694505722166289944403058744430742990345377476833582471901350555523611540735370539306820120960085756611964727392534398116336371677921546638558908903585247316148224
-809,-161,0
-509,-92,0
609,2,2124551971267068394758352826209874509318372470908127692797776552801614239443408970956650009060917142675557317944986004061386317350610828957638079915066349407775325083341572876126912512
-770,823,-80
723,-848,44125218104815898389829825659447310364864904872680898823178155169729591099393726561029280015550468702670279148410687446533176513529349858556664892007608532912981188929417439383947376132698492620683708741856789536964608
-818,-730,0
-775,-582,0
-969,-130,0
-352,559,-8
635,289,142576269300693600582536612678134103902913390851517497830599766184352348975271168328309775353667856243082572174174825228459022022542982437445395666241319193382874833573758279690089818507706366
-357,577,-8
-182,-333,0
469,-982,1524291284333980581729295522359944485228807686848130444755447734192076044345588681699368214386470689042884243711624327585667956874652483059712
-840,434,-8
842,589,29326237612518360273324834748083034614499060912302748190148044495166529541481373859169571088204419456439664137440255713356182385415243137741255706666562129531405183291370713192721204491754474266874920968429307133415352886893299285622127397997029678383096
351,-326,4586997231980143023221641790604173881593129978336562247475177678773845752176969616140037106220251373109248
277,834,242833611528216133864932738352939863330300854881517440156476551217363035650651062192
612,884,16996415770136547158066822609678996074546979767265021542382212422412913915547271767653200072487337141404458543559888032491090538804886631661104639320530795262202600666732583009015300016
742,-1,23134322349737717735007099635340311456574291245888123082206428617627187858318938111228919160792924135185595314161942499967986047925275778642956722900885062503881081581426410459731001937860227299113020288850612472756100399104
-321,511,-8
-798,855,-80
967,231,1247400193459199882285232945648024103792157037772160963439092026523257432418102541115598728432897313180839029277620309527482773742745996037961982373928019637700003545594428547823461075902726866989158347965339952495831756534450543993055534542780027598441950566797347526026474059518965006204926
-932,261,-2
60,-490,1152921504606846976
-252,560,-8
-190,495,-8
-875,474,-8
-822,-462,0
-447,-540,0
-419,132,0
-480,-795,0
-763,-965,0
-857,268,-2
536,-520,224945689727159819140526925384299092943484855915095831655037778630591879033574393515952034305194542857496045531676044756160413302774714984450425759043258192756736
22,30,4194304
-414,-993,0
-736,-361,0
528,840,878694100496718043517683302282418331810487718418343092402491322775749527474899974671687634004666183037093927858109549828751614463963730408009475621262727315376
651,-718,9343878384890255807777119448474196633381331982845050737826186276657715542443371287564109437577976626746659450006721346172290467269376897020421450382791094657540085093089822617769726345721044533248
-619,106,0
-437,-327,0
415,32,84615164005151820665845159428194693098035799419427996068435045795123941278247852265624218936283556460491675139202989862944768
121,202,2658455991569831745807614120560689150
-868,-914,0
-883,33,0
-660,544,-8
-583,177,0
94,940,19807040628566084398385987504
131,614,2722258935367507707706996859454145691622
-340,370,-2
-948,-185,0
997,561,1339385758982834151185531311325002263201756014631917009304687985462938813906170153116497973519619822659493341146941433531483931607115392554498072196837321850491820971853028873177634325632796392734744272769130809372947742658424845944895692993259632864321399559710817770957553728956578048354650708508664
212,-707,6582018229284824168619876730229402019930943462534319453394436096
-863,-631,0
-358,605,-26
611,220,8498207885068273579033411304839498037273489883632510771191106211206456957773635883826600036243668570702229271779944016245545269402443315830552319660265397631101300333366291504507650046
-741,-412,0
-680,-261,0
-912,956,-80
-444,65,0
464,-694,47634102635436893179040485073748265163400240214004076398607741693502376385799646303105256699577209032590132615988260237052123652332890095616
213,-647,13164036458569648337239753460458804039861886925068638906788872192
176,813,95780971304118053647396689196894323976171195136475056
533,-726,28118211215894977392565865673037386617935606989386978956879722328823984879196799189494004288149317857187005691459505594520051662846839373056303219880407274094592
63,-932,9223372036854775808
-725,-771,0
-984,-487,0
860,-263,7687697232696013035490465480201479025983241823794691621558168976140934720122093268938148043346259333988919315645138393722043075242293497100043735968399262883880680368733084239192707430286484902215659282347932289182034267181757047930126964620533348010060414976
234,-493,27606985387162255149739023449108101809804435888681546220650096895197184
-298,308,-2
-819,-775,0
-352,203,-2
724,275,88250436209631796779659651318894620729729809745361797646356310339459182198787453122058560031100937405340558296821374893066353027058699717113329784015217065825962377858834878767894752265396985241367417483713579073929214
345,-698,71671831749689734737838152978190216899892655911508785116799651230841339877765150252188079784691427704832
-651,-243,0
431,-39,5545339388241629719156828368286167406872874150751633150340959161229242615611251246079948812208279156194782421922807143657948315648
661,843,9568131466127621947163770315237577352582483950433331955534014747297500715462012198465648064079848065788579276806882658480425438483841942548911565191978080929321047135323978360596199778018349602045872
415,31,84615164005151820665845159428194693098035799419427996068435045795123941278247852265624218936283556460491675139202989862944768
413,927,21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736112
-827,979,-80
25,-753,33554432
42,376,4398046511102
-971,824,-80
627,331,556938551955834377275533643273961343370755433013740225900780336657626363184653001282460059975265063449541297555370411048668054775558525146271076821255153099151854818647493280039413353545726
-264,926,-80
868,39,1968050491570179337085559162931578630651709906891441055118891257892079288351255876848165899096642389501163344805155428792843027262027135257611196407910211298273454174395669565233333102153340134967208776281070666030600772398529804270112502942856537090575466233856
-494,-149,0
873,-583,62977615730245738786737893213810516180854717020526113763804520252546537227240188059141308771092556464037227033764973721370976872384868328243558285053126761544750533580661426087466659268906884318950680840994261312979224716752953736643600094171409186898414919483392
-452,858,-80
699,733,2630067950774186753620494941440064332775169901411586929749140451534366077148540411056833268138794225613491484428089108856509716125091901931563907385325940424977611835564222299095831878942161358635646625867890662
130,-527,1361129467683753853853498429727072845824
654,-519,74751027079122046462216955587793573067050655862760405902609490213261724339546970300512875500623813013973275600053770769378323738155015176163371603062328757260320680744718580942157810765768356265984
377,-168,307828173409331868845930000782371982852185463050511302093346042220669701339821957901673955116288403443801781174272
-77,864,-80
958,470,2436328502849999770088345596968797077719056714398751881716976614303237172691606525616403766470502564806326229057852167045864792466300773511644496824078163354882819424989118257467697413872513412088199898369804594718421399481348718736436590903867241403206934700776069386770457147497978527736
434,694,44362715105933037753254626946289339254982993206013065202727673289833940924890009968639590497666233249558259375382457149263586525158
276,74,121416805764108066932466369176469931665150427440758720078238275608681517825325531136
-866,425,-8
681,193,10032913020226237310869197622070557910061530690809581488606035047662224110216294903018315384440590765432325303757053790498770584583633048750167493382743608188543746320969475933440520778435368952314936164352
821,579,13983839803942852150595109342614667231797724205161451430391332862456574221363722734055314582922181823940116947860839707067576592166539734717014172871857704892828551908192974659309961553456532605588398441519406859119106715628289835749686907766833144
-314,826,-80
430,289,2772669694120814859578414184143083703436437075375816575170479580614621307805625623039974406104139578097391210961403571828974157822
-651,35,0
837,-716,916444925391198758541401085877594831703095653509460880942126390473954048171292933099049096506388108013739504295007991042380699544226348054414240833330066547856411977855334787272537640367327320839841280263415847919229777715415602675691481187407177449472
35,-412,34359738368
-161,759,-26
-793,-444,0
789,178,3255866422304616344765552632188114158762089024568314531443485259650408807528140659922574316831813618526821245406949824436469141432675471230646169947427163108444901161872077421124549944292877941762189949285100879873872435565174053364826112
753,793,47379092172262845921294540053176957863064148471578876072358765808900480733837185251796826441303908628860099203403658239934435426150964794660775368501012608007948455078761288621529091968737745508583465551566054344204493617364966
-781,-699,0
202,-545,6427752177035961102167848369364650410088811975131171341205504
542,-996,14396524142538228424993723224595141948383030778566133225922417832357880258148761185020930195532450742879746914027266864394266451377581759004827248578768524336431104
861,-837,15375394465392026070980930960402958051966483647589383243116337952281869440244186537876296086692518667977838631290276787444086150484586994200087471936798525767761360737466168478385414860572969804431318564695864578364068534363514095860253929241066696020120829952
600,-239,4149515568880992958512407863691161151012446232242436899995657329690652811412908146399707048947103794288197886611300789182395151075411775307886874834113963687061181803401509523685376
-549,57,0
306,-736,130370302485407109521180524058200202307293977194619920040712988758680403184853549195737432064
294,509,31828687130226345097944463881396533766429193651030253916189694521162207808802136034115576
643,-440,36499524940977561749129372845602330599145828057988479444633540143194201337669419092047302490538971198229138476588755258485509637771003503986021290557777713506015957394882119600662993537972830208
-471,-661,0
-119,744,-26
-391,-109,0
-900,81,0
-384,-338,0
-90,567,-8
-993,659,-26
245,-382,56539106072908298546665520023773392506479484700019806659891398441363832832
228,332,431359146674410236714672241392314090778194310760649159697657763987454
-837,-754,0
-360,113,0
-414,228,-2
675,-998,156764265941034957982331212844852467344711417043899710759469297619722251722129607859661177881884230709880082871203965476543290384119266386721367084105368877945996036265148061460008137163052639879920877568
-667,-120,0
594,196,64836180763765514976756372870174392984569472378788076562432145776416450178326689787495422639798496785753091978301574830974924235553308989185732419283030682610330965678148586307584
31,636,2147483622
-263,98,0
-323,55,0
-776,333,-2
-543,-700,0
-801,-214,0
-787,456,-8
-464,963,-80
-33,228,-1
28,-481,268435456
-643,994,-80
-412,-954,0
627,-511,556938551955834377275533643273961343370755433013740225900780336657626363184653001282460059975265063449541297555370411048668054775558525146271076821255153099151854818647493280039413353545728
479,-810,1560874275157996115690798614896583152874299071332485575429578479812685869409882810060153051531745985579913465560703311447723987839644142653145088
268,-469,474284397516047136454946754595585670566993857190463750305618264096412179005177856
693,903,41094811730846668025320233460001005199612029709556045777330319555224469955445943922763019814668659775210804444188892325882964314454560967680686052895717819140275184930690973423372373108471271228681978529185712
117,-786,166153499473114484112975882535043072
767,586,776259046150354467574489744231251277628443008558348305569526019013025476343188443165439204414323238975243865348565536603085790022057407195722143637520590569602227488010424952775132642815799222412631499596858234375446423426908028920
-754,-870,0
348,-239,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656
997,-242,1339385758982834151185531311325002263201756014631917009304687985462938813906170153116497973519619822659493341146941433531483931607115392554498072196837321850491820971853028873177634325632796392734744272769130809372947742658424845944895692993259632864321399559710817770957553728956578048354650708508672
-899,-129,0
-593,86,0
-341,-17,0
-459,252,-2
-735,891,-80
-354,-581,0
-339,686,-26
-421,-977,0
-267,-756,0
-641,-67,0
-787,-373,0
332,-926,8749002899132047697490008908470485461412677723572849745703082425639811996797503692894052708092215296
756,-609,379032737378102767370356320425415662904513187772631008578870126471203845870697482014374611530431269030880793627229265919475483409207718357286202948008100864063587640630090308972232735749901964068667724412528434753635948938919936
230,-361,1725436586697640946858688965569256363112777243042596638790631055949824
-161,185,0
-833,-309,0
-375,-649,0
-137,138,0
948,-220,2379227053564452900476899997039840896210016322655031134489234974905505051456646997672269303193850160943677958064308756880727336392871849132465328929763831401252753344715935798308298255734876378992382713251762299529708397931004608141051358304557852932819272168726630260518024558103494656
-13,-374,0
-630,369,-2
-175,-474,0
586,-874,253266331108459042877954581524118722595974501479640924072000569439126758509088631982403994686712878069348015540240526683495797795130113239006767262824338603946605334680267915264
-542,272,-2
-170,845,-80
-537,263,-2
-874,-482,0
680,455,5016456510113118655434598811035278955030765345404790744303017523831112055108147451509157692220295382716162651878526895249385292291816524375083746691371804094271873160484737966720260389217684476157468082168
298,-258,509258994083621521567111422102344540262867098416484062659035112338595324940834176545849344
806,-886,426752923704310673541110514606160499017264532628218122265360499952898383220328452577371660855779474607547514277979727388536883305863639365143254787349173122950090085088896931741637010298356097582653761032696742526828207874398493522634488152064
215,644,52656145834278593348959013841835216159447547700274555627155488742
-534,412,-8
153,-908,11417981541647679048466287755595961091061972992
-872,-874,0
285,-396,62165404551223330269422781018352605012557018849668464680057997111644937126566671941632
-443,-363,0
-20,34,0
510,-744,3351951982485649274893506249551461531869841455148098344430890360930441007518386744200468574541725856922507964546621512713438470702986642486608412251521024
-479,-902,0
835,984,229111231347799689635350271469398707925773913377365220235531597618488512042823233274762274126597027003434876073751997760595174886056587013603560208332516636964102994463833696818134410091831830209960320065853961979807444428853900668922870296851794362288
92,550,4951760157141521099596496888
-758,-301,0
505,353,104748499452676539840422070298483172870932545473378073263465323779076281484949585756264642954428933028828373892081922272294952209468332577706512882860030
696,-480,328758493846773344202561867680008041596896237676448366218642556441795759643567551382104158517349278201686435553511138607063714515636487741445488423165742553122201479445527787386978984867770169829455828233486336
-438,-182,0
361,922,4697085165547666455778961193578674054751365097816639741414581943064418050229216886927397996769537406063869872
933,-19,72608247484266751113186645417475613287659189534150120071082610318161164900410369802010171606257634306142515810068016262229227795192622349013224149467890362587059123068723626657357734855190319183117148231560128769827526792328021488679545846696711820459572514914753120743347917422592
-66,-102,0
-467,-96,0
310,474,2085924839766513752338888384931203236916703635113918720651407820138886450957656787131798913016
512,-579,13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096
-722,201,-2
903,-489,67621699985365151533099492469314125634412457732623554832378970755414259527260782012725408753620120050518322559136912470896940487616343748768068989243256265844273495551872650773597634262582584454787101812251032115730947621472199902571314803042180668990660938354910463787008
456,-859,186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936
-481,-497,0
-801,-134,0
-996,-334,0
-309,-465,0
-237,-973,0
