x,y,z
-274,-128,-23
281,33,129110040087761027839616029934664535539337183380629
805,403,866829324413877982498426166059407796224066222283061934740306410784756503191058951340208814506447604905036107049899364577789476939902644182833925061701872067291340817034512317519193313530999831925575601460221107500053320485556343004107596018184072227416421340580495966718979046875644614486065282593114505219337016822872472933796147830246278121739501208389696291253859299238573212259130440264425410638860924997059545012619166083973967137257302970158169042047823101825956104801185224584554512395655938113974168022283910458046007914851697394746672503320763536115687259479012650200477556185407331502856459827569074835736285385558483719543566406248668411392850061830868310695228901176011387045595500137737170847643990069240070357836059197823678583138441076074739691719967829815287575235103468039264477227249163418441730139125841351295147482236153459781358402286477759829796064921061044669762686398573868934209176031694606863346862791501162340294629425882776512675146497824054198374046521778921249505413847188902536104855137318771469016715891492016157667074
-911,-851,-182
56,484,2918468672763517114005045739226762610091597597411963634221184467058917559341672597818978068727111912216351325234622327619790294113122219380639246489488919209121599584389545542918455677039828675948611586100781577344099706561930407373698403558490853597094169318389324946937339566733478819627735035861631231392841869674485308695004120403870001070006575308244434000501082106161313552764308945818867532025445751604967541588793652032143001800889407335707428202258663775392167574173577261592789603477320721381968398458056320443284347958425360425818907914512664522226333378283505146261945270529718745148446325930582827326198406852136960379722373839391561832076056903253430696808680423649667002928174359642666364692682469510171679869192719349101689909920297735445591766337360737137408193220873563694965562623682373080195717253062662069696922050021657456540926397149215534430134931757289197418180513285288774413969809651076097204138099720670443551046519994632235276803344907028022198532307766015577444875908304608836004936340795548403844114235554227816110705593738711859371182868842287104024795781035726500514442556316237779309566740675993303263348422310972204950481140153962841585016292981516265615314019602221315713247957680705738929479101885741083074080698708662932074189521708950352327275343849715176308796
636,894,31314234791180577821413505393793149207116148270186685693660453104858986748197411888820257260693248922022102032917553824755687616510958818348994255038665407848695007871318640380545145759462946717453954059316694673116490511093956940146077941673008452932904863454478104671517072276969727193472549735435248169001421563967406993404196740231558329163617820618616553242274682291321482007822259327223605820630802099545010874366418125980798007654989910576004133646167402958155232652306279749578243202568141790728162686179056105286094096107783772446746280202839445256324211727768767480873531308618116488674968130888146810610346653036264849049503796008768372008401140891644787349065712921556309763764382620308544521764590117416390507550663706696839877597474780568144471213463804031766855377465490617266653500684172013262105932032475290919787930828726326481222153187465511318238863572839794405336464648948088039327122580948059410675677324513160784782171438069970637454020556637599742931407706351243365747999693505486427821723451286198988141959437873294795062998602641627051733607960117107812028909289603645271442189092058483523189932187718633190855984521023483205063072104026224677385726893902829153553032210142446404743612571674353475077415450127178502599046058517680722789765734153064538067971644797780458144566429410917880280475225488088267491993313140108060547669913548831988560943393082308969124907819678656147809664908247019635536875353108312695200539712990611037663126691979021531988811878771525453910896204459271943256458022727505179360516977299383530655813510224787055194431069990697532513280712612411756991838890677655397420089898633301069144180056391056649055314551264835493234916402678868157256301001082391610611848860626259131352972549483635785265489495543136938986580946603604233506050243308193371807925835604553238701829707933087838540944915602459449000187094802251401152449559793936772556479373183448632475549575819686715195018665151685000317146593126156213298862722085670268296887002931827222616480567959499589306795277290978459886382383769451583591141575802945675926263734208840091834898018110523656468010913519594956786677799663047473610263345782513782472203352544973534710223485383592936635734063959785403245426500385641186135594439619607386485796479435274684562741523661472034856776508678555942421784679171417417400392700746105016613856753284874626009291200099448175354980985641392226099448301532848034489985758428969321286382425486458119231387804083901779573021025372004699921010711933049324201440318403618311068801477390800041522615863142448695277663242449112802112555390482399383493769748576888386742993289571851900229984977101
-848,-122,-166
65,-924,62
188,-590,93
-218,-799,-9
-976,-135,-198
