x,y,z
114,172,1483804
257,619,16989998
-982,291,-946961198
x,y,z
-64,880,-261259
491,79,118370855
85,596,614726
-227,-438,-11697516
921,-176,781229790
-629,-206,-248858390
-994,999,-982106780
215,-517,9937863
791,242,494913918
538,-930,155719947
-455,-825,-94197195
926,-71,794022710
-187,729,-6538469
341,-258,39651568
886,-544,695505917
210,95,9261100
-879,759,-679150675
938,-859,825292818
59,8,205392
71,645,358561
-516,-281,-137388372
-259,881,-17373093
526,-270,145531311
712,929,360945062
268,-114,19248723
527,823,146364011
-339,-892,-38959106
784,-314,481889995
-81,412,-531024
958,689,879218606
970,667,912673672
419,949,73561013
736,749,398689010
746,161,415161102
-571,-792,-186170198
234,915,12813824
-676,-40,-308915811
-711,-488,-359425914
80,121,512126
334,915,37260624
695,419,335702799
-645,780,-268335340
890,37,704969042
-906,-956,-743678367
-404,-589,-65939848
24,873,14702
-512,607,-134217116
-731,-232,-390618118
598,161,213847358
745,931,413494561
-95,470,-856900
-291,-112,-24642278
846,614,605496355
-566,-315,-181321806
-401,222,-64480974
860,-729,636055276
-529,250,-148035634
-668,-702,-298078329
184,987,6230496
-255,-661,-16582031
784,792,481891101
-156,-575,-3796986
669,303,299418617
971,-961,915497655
-911,-676,-756058702
974,952,924011381
-282,252,-22425511
533,-134,151419308
-138,-332,-2628399
-497,110,-122763358
57,87,185285
-638,-264,-259694331
-512,844,-134216879
605,-185,221444945
-129,470,-2146214
-602,-139,-218167342
696,851,337154392
-964,750,-895840589
253,-648,16193634
-526,896,-145530675
-528,591,-147197356
681,-783,315820463
639,365,260917489
-98,908,-940279
-44,570,-84609
-13,586,-1606
987,186,961504994
606,-604,222544417
-372,686,-51478157
757,-626,433797472
705,350,350402980
-101,-821,-1031117
-220,57,-10647938
-897,141,-721734127
622,700,240642553
559,637,174677521
111,-699,1366937
909,-28,751089406
-789,-791,-491169855
-499,774,-124250720
-838,-387,-588480854
-413,334,-70444658
-178,-771,-5640518
-731,541,-390617345
299,365,26731269
-998,843,-994011144
437,912,83454370
-910,953,-753570042
-339,-885,-38959099
