x,y,z
947,87,950
710,66,713
74,524,529
362,86,372
492,442,661
586,808,998
753,594,959
104,394,407
569,870,1039
853,924,1257
411,939,1025
71,436,441
128,415,434
993,995,1405
316,640,713
524,544,755
397,550,678
319,988,1038
786,233,819
466,283,545
350,120,370
463,194,502
590,497,771
83,208,223
224,714,748
77,448,454
542,376,659
136,780,791
453,352,573
170,91,192
935,503,1061
5,917,917
611,153,629
240,994,1022
875,150,887
827,828,1170
182,532,562
443,655,790
276,863,906
933,246,964
641,83,646
141,710,723
532,84,538
246,704,745
347,857,924
75,350,357
78,84,114
984,609,1157
537,794,958
482,336,587
64,328,334
423,544,689
982,336,1037
760,877,1160
182,987,1003
862,20,862
30,497,497
969,99,974
621,837,1042
522,848,995
507,814,958
694,878,1119
854,970,1292
527,710,884
531,312,615
150,562,581
339,196,391
612,330,695
90,998,1002
585,201,618
511,258,572
759,696,1029
140,719,732
683,957,1175
836,5,836
809,993,1280
64,624,627
544,877,1032
26,282,283
909,833,1232
15,194,194
823,868,1196
540,207,578
50,918,919
344,467,580
347,82,356
221,713,746
558,638,847
658,413,776
681,7,681
457,326,561
999,616,1173
379,829,911
135,649,662
419,200,464
480,297,564
842,211,868
784,325,848
661,945,1153
924,452,1028
100,922,927
379,257,457
454,524,693
272,860,901
781,823,1134
647,241,690
331,709,782
379,851,931
493,710,864
341,528,628
92,117,148
270,19,270
406,479,627
166,707,726
695,590,911
663,623,909
495,607,783
670,136,683
240,225,328
760,637,991
786,276,833
325,546,635
396,356,532
176,797,816
790,651,1023
533,455,700
781,906,1196
115,574,585
522,990,1119
777,209,804
836,994,1298
325,408,521
747,330,816
479,742,883
86,945,948
514,433,672
413,977,1060
199,39,202
622,77,626
595,136,610
487,197,525
996,660,1194
396,555,681
704,496,861
632,366,730
489,188,523
126,295,320
139,306,336
104,9,104
210,465,510
123,156,198
874,640,1083
591,123,603
536,484,722
635,547,838
671,59,673
125,210,244
217,351,412
97,219,239
700,610,928
485,263,551
538,494,730
759,880,1162
270,494,562
152,421,447
867,868,1226
951,403,1032
598,210,633
940,266,976
446,15,446
171,991,1005
126,792,801
466,343,578
117,482,495
226,662,699
243,949,979
29,238,239
229,187,295
247,793,830
378,856,935
402,53,405
90,722,727
927,834,1246
262,800,841
760,519,920
703,352,786
793,463,918
251,66,259
973,881,1312
950,154,962
286,835,882
141,461,482
256,735,778
508,367,626
228,793,825
468,110,480
700,290,757
533,534,754
220,303,374
124,866,874
472,113,485
722,602,940
415,451,612
